"row_id","customer_id","gender","region","age","age_band","product_name","category","unit_price","quantity","total_price","total_price_flagged","shipping_fee","shipping_status","order_date"
79,"CUST0022","Female","North",33,"26-35","Smartwatch","Wearables","200.00",2,"400.00",False,"10.07","Delivered","2023-11-21"
80,"CUST0269","Female","East",64,"56-65","Laptop","Electronics","1500.00",5,"7500.00",False,"6.53","Returned","2023-12-03"
81,"CUST0181","Male","East",59,"56-65","Smartwatch","Wearables","200.00",3,"600.00",False,"9.82","In Transit","2023-02-08"
82,"CUST0170","Female","South",40,"36-45","Mouse","Accessories","30.00",5,"150.00",False,"8.64","Delivered","2023-12-22"
83,"CUST0182","Male","West",NULL,"Unknown","Monitor","Electronics","300.00",5,"1500.00",False,"7.77","In Transit","2023-10-24"
84,"CUST0219","Male","Unknown",48,"46-55","Mouse","Accessories","62.19",2,"124.38",True,"7.40","Returned","2023-08-20"
85,"CUST0037","Male","West",51,"46-55","Keyboard","Accessories","103.65",4,"414.61",True,"11.41","Returned","2023-05-20"
86,"CUST0006","Female","West",52,"46-55","Monitor","Electronics","300.00",3,"900.00",False,"5.66","Delivered","2023-02-18"
87,"CUST0125","Female","West",46,"46-55","Mouse","Accessories","30.00",4,"120.00",False,"5.71","Delivered","2024-01-03"
88,"CUST0006","Male","North",52,"46-55","Smartwatch","Wearables","200.00",1,"200.00",False,"13.68","Delivered","2023-08-02"
89,"CUST0091","Female","South",30,"26-35","Mouse","Accessories","30.00",1,"30.00",False,"18.29","In Transit","2023-04-19"
90,"CUST0064","Male","North",61,"56-65","Smartphone","Electronics","800.00",5,"4000.00",False,"6.31","Delivered","2023-06-29"
91,"CUST0286","Female","North",63,"56-65","Laptop","Electronics","1500.00",1,"1500.00",False,"13.15","Delivered","2023-03-08"
92,"CUST0288","Male","West",55,"46-55","Headphones","Accessories","100.00",2,"200.00",False,"16.23","Returned","2023-07-04"
93,"CUST0019","Female","East",69,"66+","Keyboard","Accessories","50.00",1,"50.00",False,"14.53","Returned","2023-04-23"
94,"CUST0236","Male","East",18,"18-25","Keyboard","Accessories","50.00",2,"100.00",False,"11.25","Returned","2023-03-24"
95,"CUST0159","Male","West",18,"18-25","Keyboard","Accessories","50.00",5,"250.00",False,"11.11","Returned","2023-09-11"
96,"CUST0251","Male","North",42,"36-45","Mouse","Accessories","30.00",2,"60.00",False,"18.98","In Transit","2023-02-02"
97,"CUST0159","Male","North",18,"18-25","Headphones","Accessories","100.00",1,"100.00",False,"18.47","Delivered","2023-08-13"
98,"CUST0064","Male","West",61,"56-65","Monitor","Electronics","300.00",4,"1200.00",False,"18.50","Returned","2023-05-23"
99,"CUST0099","Female","South",26,"26-35","Laptop","Electronics","1500.00",4,"6000.00",False,"15.74","Returned","2023-08-12"
100,"CUST0228","Male","North",25,"18-25","Smartphone","Electronics","800.00",4,"3200.00",False,"18.20","In Transit","2023-01-24"
101,"CUST0024","Female","East",57,"56-65","Smartwatch","Wearables","200.00",2,"400.00",False,"17.94","In Transit","2023-12-08"
102,"CUST0113","Male","South",38,"36-45","Smartphone","Electronics","800.00",2,"1600.00",False,"16.51","In Transit","2023-09-14"
103,"CUST0192","Female","North",58,"56-65","Smartwatch","Wearables","200.00",4,"800.00",False,"9.97","Delivered","2023-11-12"
104,"CUST0153","Female","East",40,"36-45","Monitor","Electronics","300.00",1,"300.00",False,"6.85","Returned","2023-06-21"
105,"CUST0057","Female","East",62,"56-65","Keyboard","Accessories","50.00",5,"250.00",False,"14.04","Unknown","2024-01-03"
106,"CUST0192","Male","Unknown",58,"56-65","Keyboard","Accessories","50.00",3,"150.00",False,"6.37","In Transit","2024-01-03"
107,"CUST0150","Female","North",63,"56-65","Laptop","Electronics","1500.00",3,"4500.00",False,"18.66","Returned","2023-05-06"
108,"CUST0203","Male","South",33,"26-35","Mouse","Accessories","30.00",1,"30.00",False,"7.78","In Transit","2023-01-03"
109,"CUST0163","Female","North",22,"18-25","Headphones","Accessories","100.00",3,"300.00",False,"6.16","Returned","2023-10-12"
110,"CUST0203","Female","East",33,"26-35","Laptop","Electronics","1500.00",3,"4500.00",False,"6.92","Returned","2023-06-26"
111,"CUST0223","Female","Unknown",20,"18-25","Mouse","Accessories","62.19",2,"124.38",True,"15.12","In Transit","2023-05-26"
112,"CUST0266","Male","North",NULL,"Unknown","Mouse","Accessories","30.00",5,"150.00",False,"16.86","Returned","2023-11-08"
113,"CUST0227","Male","West",54,"46-55","Smartphone","Electronics","800.00",3,"2400.00",False,"18.76","In Transit","2023-12-07"
114,"CUST0289","Male","West",37,"36-45","Laptop","Electronics","1500.00",5,"7500.00",False,"6.68","Delivered","2023-07-06"
115,"CUST0046","Female","South",22,"18-25","Laptop","Electronics","1500.00",3,"4500.00",False,"11.69","Delivered","2023-06-20"
116,"CUST0173","Male","Unknown",65,"56-65","Headphones","Accessories","100.00",1,"100.00",False,"19.28","Returned","2023-02-11"
117,"CUST0008","Female","North",NULL,"Unknown","Headphones","Accessories","100.00",5,"500.00",False,"16.04","Delivered","2023-02-02"
118,"CUST0015","Male","West",58,"56-65","Headphones","Accessories","100.00",3,"300.00",False,"6.08","Returned","2023-03-22"
119,"CUST0002","Male","East",23,"18-25","Smartphone","Electronics","800.00",1,"800.00",False,"12.64","Returned","2023-09-10"
120,"CUST0189","Female","South",38,"36-45","Mouse","Accessories","30.00",1,"30.00",False,"10.92","Delivered","2023-02-22"
121,"CUST0137","Male","North",19,"18-25","Smartphone","Electronics","800.00",3,"2400.00",False,"16.82","In Transit","2023-05-20"
122,"CUST0139","Male","South",NULL,"Unknown","Smartwatch","Wearables","200.00",2,"400.00",False,"9.18","Delivered","2023-06-26"
123,"CUST0033","Female","South",NULL,"Unknown","Monitor","Electronics","300.00",2,"600.00",False,"15.30","Delivered","2023-04-12"
124,"CUST0297","Male","North",61,"56-65","Monitor","Electronics","300.00",2,"600.00",False,"13.84","In Transit","2023-10-10"
125,"CUST0008","Female","North",18,"18-25","Keyboard","Accessories","50.00",3,"150.00",False,"13.86","Delivered","2023-05-29"
126,"CUST0267","Male","North",29,"26-35","Laptop","Electronics","1500.00",3,"4500.00",False,"14.23","Returned","2023-06-01"
127,"CUST0028","Male","Unknown",50,"46-55","Smartwatch","Wearables","200.00",5,"1000.00",False,"6.09","In Transit","2023-08-22"
128,"CUST0078","Female","North",38,"36-45","Laptop","Electronics","1500.00",3,"4500.00",False,"19.98","In Transit","2023-05-10"
129,"CUST0003","Male","North",63,"56-65","Smartphone","Electronics","800.00",5,"4000.00",False,"11.10","In Transit","2023-11-06"
130,"CUST0049","Female","North",59,"56-65","Laptop","Electronics","1500.00",1,"1500.00",False,"12.63","Returned","2023-02-06"
131,"CUST0212","Female","North",NULL,"Unknown","Laptop","Electronics","1500.00",5,"7500.00",False,"10.18","In Transit","2023-11-18"
132,"CUST0146","Male","North",47,"46-55","Smartphone","Electronics","800.00",1,"800.00",False,"10.16","Unknown","2023-01-13"
133,"CUST0082","Female","Unknown",NULL,"Unknown","Smartwatch","Wearables","200.00",1,"200.00",False,"6.03","Returned","2023-04-21"
134,"CUST0036","Female","North",33,"26-35","Keyboard","Accessories","50.00",1,"50.00",False,"6.06","Delivered","2023-08-02"
135,"CUST0155","Female","North",41,"36-45","Laptop","Electronics","1500.00",2,"3000.00",False,"9.21","Returned","2023-02-02"
136,"CUST0138","Male","North",46,"46-55","Keyboard","Accessories","50.00",3,"150.00",False,"5.09","Returned","2023-03-16"
137,"CUST0201","Female","North",49,"46-55","Mouse","Accessories","30.00",2,"60.00",False,"8.39","In Transit","2023-11-03"
138,"CUST0197","Female","West",54,"46-55","Mouse","Accessories","30.00",2,"60.00",False,"8.59","Delivered","2023-06-04"
139,"CUST0082","Male","West",30,"26-35","Laptop","Electronics","1500.00",1,"1500.00",False,"9.98","Delivered","2023-12-04"
140,"CUST0091","Male","East",30,"26-35","Laptop","Electronics","1500.00",5,"7500.00",False,"7.58","Delivered","2023-09-26"
141,"CUST0066","Male","West",37,"36-45","Laptop","Electronics","1500.00",2,"3000.00",False,"5.69","Returned","2023-01-18"
142,"CUST0026","Female","East",27,"26-35","Monitor","Electronics","300.00",1,"300.00",False,"16.61","In Transit","2023-11-23"
143,"CUST0078","Female","West",38,"36-45","Smartwatch","Wearables","200.00",4,"800.00",False,"18.89","Returned","2023-05-03"
144,"CUST0281","Male","West",44,"36-45","Keyboard","Accessories","50.00",4,"200.00",False,"19.81","In Transit","2023-08-27"
145,"CUST0299","Male","West",58,"56-65","Headphones","Accessories","100.00",5,"500.00",False,"14.50","Returned","2023-01-16"
146,"CUST0053","Female","East",25,"18-25","Smartwatch","Wearables","200.00",5,"1000.00",False,"16.41","In Transit","2023-07-25"
147,"CUST0239","Male","North",35,"26-35","Smartwatch","Wearables","200.00",1,"200.00",False,"7.32","Delivered","2023-11-18"
148,"CUST0069","Male","East",NULL,"Unknown","Headphones","Accessories","100.00",3,"300.00",False,"10.81","Returned","2023-12-07"
149,"CUST0245","Male","West",63,"56-65","Mouse","Accessories","30.00",3,"90.00",False,"13.95","Returned","2023-05-15"
150,"CUST0258","Female","South",39,"36-45","Monitor","Electronics","300.00",4,"1200.00",False,"9.55","In Transit","2023-05-16"
151,"CUST0177","Male","South",29,"26-35","Smartwatch","Wearables","200.00",3,"600.00",False,"13.87","In Transit","2023-03-18"
152,"CUST0140","Male","East",NULL,"Unknown","Headphones","Accessories","100.00",2,"200.00",False,"10.96","Delivered","2023-03-08"
153,"CUST0089","Female","North",27,"26-35","Mouse","Accessories","30.00",3,"90.00",False,"6.45","In Transit","2023-09-19"
154,"CUST0168","Female","West",42,"36-45","Smartphone","Electronics","800.00",2,"1600.00",False,"13.79","In Transit","2023-09-25"
155,"CUST0176","Male","East",51,"46-55","Laptop","Electronics","1500.00",3,"4500.00",False,"16.42","In Transit","2023-10-28"
156,"CUST0089","Female","South",27,"26-35","Monitor","Electronics","300.00",3,"900.00",False,"7.99","In Transit","2023-02-21"
157,"CUST0281","Female","West",44,"36-45","Keyboard","Accessories","50.00",2,"100.00",False,"6.45","Returned","2023-08-28"
158,"CUST0044","Male","East",30,"26-35","Mouse","Accessories","30.00",5,"150.00",False,"16.62","Returned","2023-10-28"
159,"CUST0137","Female","South",NULL,"Unknown","Monitor","Electronics","300.00",5,"1500.00",False,"6.00","Delivered","2023-11-08"
160,"CUST0174","Female","East",68,"66+","Laptop","Electronics","1500.00",1,"1500.00",False,"16.34","Delivered","2023-05-07"
161,"CUST0141","Female","East",58,"56-65","Mouse","Accessories","30.00",1,"30.00",False,"12.22","In Transit","2023-10-03"
162,"CUST0202","Male","South",56,"56-65","Mouse","Accessories","30.00",3,"90.00",False,"5.07","Delivered","2023-01-05"
163,"CUST0259","Male","West",59,"56-65","Laptop","Electronics","1500.00",2,"3000.00",False,"7.50","Delivered","2023-08-22"
164,"CUST0045","Female","East",21,"18-25","Smartphone","Electronics","800.00",3,"2400.00",False,"15.78","Delivered","2023-11-07"
165,"CUST0168","Female","West",42,"36-45","Keyboard","Accessories","50.00",1,"50.00",False,"15.92","Delivered","2023-06-24"
166,"CUST0027","Female","Unknown",36,"36-45","Keyboard","Accessories","50.00",5,"250.00",False,"11.09","Returned","2023-06-06"
167,"CUST0228","Male","South",25,"18-25","Mouse","Accessories","30.00",4,"120.00",False,"18.60","Returned","2023-06-29"
168,"CUST0199","Female","South",41,"36-45","Smartphone","Electronics","800.00",4,"3200.00",False,"16.45","In Transit","2023-01-18"
169,"CUST0065","Male","North",41,"36-45","Headphones","Accessories","100.00",5,"500.00",False,"19.62","Delivered","2023-03-04"
170,"CUST0146","Female","East",47,"46-55","Laptop","Electronics","1500.00",3,"4500.00",False,"8.87","Delivered","2023-09-11"
171,"CUST0093","Male","North",66,"66+","Monitor","Electronics","300.00",1,"300.00",False,"16.58","Delivered","2023-02-27"
172,"CUST0168","Female","South",42,"36-45","Monitor","Electronics","300.00",1,"300.00",False,"14.70","Delivered","2023-11-16"
173,"CUST0216","Male","South",53,"46-55","Smartphone","Electronics","800.00",2,"1600.00",False,"16.23","In Transit","2023-07-19"
174,"CUST0062","Male","West",43,"36-45","Headphones","Accessories","100.00",4,"400.00",False,"11.40","Returned","2023-04-24"
175,"CUST0125","Male","West",46,"46-55","Smartphone","Electronics","800.00",5,"4000.00",False,"19.08","In Transit","2023-05-01"
176,"CUST0060","Male","Unknown",41,"36-45","Keyboard","Accessories","50.00",1,"50.00",False,"5.56","Delivered","2023-06-26"
177,"CUST0056","Female","South",23,"18-25","Smartwatch","Wearables","200.00",2,"400.00",False,"5.73","Returned","2024-01-03"
178,"CUST0247","Male","South",44,"36-45","Smartphone","Electronics","800.00",1,"800.00",False,"7.11","In Transit","2023-01-19"
179,"CUST0131","Female","East",67,"66+","Monitor","Electronics","300.00",1,"300.00",False,"15.92","Unknown","2023-05-03"
180,"CUST0114","Female","West",60,"56-65","Monitor","Electronics","300.00",3,"900.00",False,"18.61","In Transit","2023-07-21"
181,"CUST0082","Female","Unknown",NULL,"Unknown","Smartphone","Electronics","800.00",4,"3200.00",False,"13.77","Delivered","2023-10-11"
182,"CUST0184","Female","West",54,"46-55","Mouse","Accessories","30.00",3,"90.00",False,"14.78","Returned","2023-06-15"
183,"CUST0075","Female","South",56,"56-65","Monitor","Electronics","300.00",2,"600.00",False,"13.60","Delivered","2023-08-16"
184,"CUST0142","Male","East",32,"26-35","Monitor","Electronics","300.00",1,"300.00",False,"15.50","Delivered","2023-04-14"
185,"CUST0076","Male","East",26,"26-35","Headphones","Accessories","100.00",5,"500.00",False,"16.96","Delivered","2023-10-24"
186,"CUST0105","Male","East",27,"26-35","Smartwatch","Wearables","200.00",5,"1000.00",False,"12.00","In Transit","2023-07-14"
187,"CUST0004","Female","West",65,"56-65","Keyboard","Accessories","50.00",3,"150.00",False,"19.62","In Transit","2023-12-06"
188,"CUST0127","Male","North",62,"56-65","Smartwatch","Wearables","200.00",2,"400.00",False,"11.66","Delivered","2023-08-31"
189,"CUST0072","Male","South",21,"18-25","Headphones","Accessories","100.00",1,"100.00",False,"11.24","Delivered","2023-09-02"
190,"CUST0216","Male","North",53,"46-55","Smartphone","Electronics","800.00",4,"3200.00",False,"6.27","Returned","2023-04-06"
191,"CUST0156","Female","South",57,"56-65","Smartphone","Electronics","800.00",4,"3200.00",False,"16.09","In Transit","2023-12-29"
192,"CUST0052","Male","North",66,"66+","Mouse","Accessories","30.00",4,"120.00",False,"8.24","Returned","2023-06-09"
193,"CUST0226","Female","West",NULL,"Unknown","Smartphone","Electronics","800.00",4,"3200.00",False,"17.91","In Transit","2023-06-14"
194,"CUST0270","Female","West",64,"56-65","Laptop","Electronics","1500.00",1,"1500.00",False,"18.88","Returned","2023-07-14"
195,"CUST0269","Male","North",64,"56-65","Monitor","Electronics","621.91",5,"3109.56",True,"6.93","Delivered","2023-04-23"
196,"CUST0183","Female","West",42,"36-45","Smartphone","Electronics","800.00",3,"2400.00",False,"7.22","Delivered","2023-10-21"
197,"CUST0205","Male","South",43,"36-45","Keyboard","Accessories","50.00",2,"100.00",False,"5.05","Delivered","2023-10-09"
198,"CUST0080","Female","East",51,"46-55","Headphones","Accessories","100.00",1,"100.00",False,"19.84","Delivered","2023-05-27"
199,"CUST0208","Female","West",57,"56-65","Laptop","Electronics","1500.00",1,"1500.00",False,"16.28","Returned","2023-02-01"
200,"CUST0186","Female","West",55,"46-55","Mouse","Accessories","30.00",5,"150.00",False,"17.36","In Transit","2023-05-07"
201,"CUST0109","Female","Unknown",57,"56-65","Mouse","Accessories","30.00",1,"30.00",False,"9.59","In Transit","2023-03-12"
202,"CUST0028","Female","East",50,"46-55","Headphones","Accessories","100.00",5,"500.00",False,"16.11","In Transit","2023-11-07"
203,"CUST0083","Male","West",28,"26-35","Keyboard","Accessories","50.00",2,"100.00",False,"9.48","Returned","2023-09-14"
204,"CUST0027","Female","South",36,"36-45","Monitor","Electronics","300.00",2,"600.00",False,"18.44","Returned","2023-03-19"
205,"CUST0203","Female","South",33,"26-35","Keyboard","Accessories","50.00",5,"250.00",False,"8.43","In Transit","2023-10-05"
206,"CUST0095","Female","East",NULL,"Unknown","Laptop","Electronics","1500.00",5,"7500.00",False,"7.38","Returned","2023-06-18"
207,"CUST0204","Male","North",54,"46-55","Smartphone","Electronics","800.00",2,"1600.00",False,"6.45","Delivered","2023-03-16"
208,"CUST0165","Male","West",49,"46-55","Keyboard","Accessories","50.00",1,"50.00",False,"8.97","Returned","2023-05-23"
209,"CUST0269","Male","North",64,"56-65","Headphones","Accessories","100.00",3,"300.00",False,"11.64","Returned","2023-11-24"
210,"CUST0134","Male","North",NULL,"Unknown","Monitor","Electronics","621.91",5,"3109.56",True,"7.22","Returned","2023-08-05"
211,"CUST0116","Female","East",NULL,"Unknown","Headphones","Accessories","100.00",2,"200.00",False,"15.13","Delivered","2023-01-23"
212,"CUST0137","Female","West",19,"18-25","Smartphone","Electronics","800.00",3,"2400.00",False,"11.21","Returned","2023-08-01"
213,"CUST0100","Male","West",29,"26-35","Keyboard","Accessories","50.00",2,"100.00",False,"5.18","Returned","2023-04-14"
214,"CUST0282","Male","North",68,"66+","Smartwatch","Wearables","200.00",3,"600.00",False,"7.93","In Transit","2023-06-22"
215,"CUST0094","Male","North",30,"26-35","Laptop","Electronics","1500.00",1,"1500.00",False,"14.53","In Transit","2023-04-18"
216,"CUST0194","Female","West",61,"56-65","Mouse","Accessories","62.19",1,"62.19",True,"10.41","Returned","2023-01-28"
217,"CUST0174","Female","North",NULL,"Unknown","Smartphone","Electronics","800.00",4,"3200.00",False,"9.45","Returned","2023-05-08"
218,"CUST0273","Female","South",NULL,"Unknown","Laptop","Electronics","1500.00",2,"3000.00",False,"9.01","In Transit","2023-06-07"
219,"CUST0188","Male","North",29,"26-35","Smartphone","Electronics","800.00",5,"4000.00",False,"6.06","Delivered","2023-02-24"
