customer_id,gender,most_common_region,age,age_band,total_orders,lifetime_spend,avg_order_value,first_order_date,last_order_date,customer_tenure_days,return_count,has_return_flag,recency_days,Recency,Frequency,Monetary,segment
CUST0017,Female,West,36.0,36-45,1,250.0,250.0,2023-12-17,2023-12-17,0,0,False,18,18,1,250.0,Developing Customers
CUST0018,Female,South,38.0,36-45,3,910.0,303.33,2023-04-16,2023-11-28,226,0,False,37,37,3,910.0,Developing Customers
CUST0019,Female,East,69.0,66+,4,3750.0,937.5,2023-04-05,2023-11-07,216,1,True,58,58,4,3750.0,Loyal Customers
CUST0020,Female,North,55.0,46-55,2,3500.0,1750.0,2023-09-13,2023-10-26,43,1,True,70,70,2,3500.0,Developing Customers
CUST0021,Female,East,43.0,36-45,2,320.0,160.0,2023-09-24,2023-12-28,95,0,False,7,7,2,320.0,Developing Customers
CUST0022,Female,North,33.0,26-35,5,5930.0,1186.0,2023-02-27,2023-11-21,267,2,True,44,44,5,5930.0,Loyal Customers
CUST0023,Female,South,29.0,26-35,5,10450.0,2090.0,2023-01-07,2023-11-01,298,2,True,64,64,5,10450.0,Loyal Customers
CUST0024,Female,East,57.0,56-65,3,2500.0,833.33,2023-09-02,2023-12-08,97,1,True,27,27,3,2500.0,Developing Customers
CUST0025,Female,East,56.0,56-65,3,1500.0,500.0,2023-05-22,2023-11-25,187,2,True,40,40,3,1500.0,Developing Customers
CUST0026,Female,East,27.0,26-35,2,4300.0,2150.0,2023-05-02,2023-11-23,205,1,True,42,42,2,4300.0,Developing Customers
CUST0027,Female,North,36.0,36-45,3,6850.0,2283.33,2023-03-19,2023-10-16,211,2,True,80,80,3,6850.0,Developing Customers
CUST0028,Female,East,50.0,46-55,7,4850.0,692.86,2023-01-17,2023-11-07,294,0,False,58,58,7,4850.0,Loyal Customers
CUST0029,Female,South,66.0,66+,2,3300.0,1650.0,2023-04-03,2023-10-10,190,0,False,86,86,2,3300.0,Developing Customers
CUST0030,Female,East,44.0,36-45,2,4400.0,2200.0,2023-05-11,2023-07-03,53,1,True,185,185,2,4400.0,At Risk / Lost
CUST0031,Female,East,67.0,66+,7,12800.0,1828.57,2023-03-26,2023-12-14,263,1,True,21,21,7,12800.0,Champions
CUST0032,Female,North,63.0,56-65,4,7720.0,1930.0,2023-03-11,2023-12-30,294,2,True,5,5,4,7720.0,Loyal Customers
CUST0033,Female,South,,Unknown,1,600.0,600.0,2023-04-12,2023-04-12,0,0,False,267,267,1,600.0,At Risk / Lost
CUST0034,Female,East,65.0,56-65,3,7700.0,2566.67,2023-04-08,2023-11-17,223,1,True,48,48,3,7700.0,Developing Customers
CUST0035,Female,South,20.0,18-25,2,270.0,135.0,2023-07-22,2023-09-16,56,2,True,110,110,2,270.0,Developing Customers
CUST0036,Female,South,33.0,26-35,4,3900.0,975.0,2023-05-07,2023-08-02,87,1,True,155,155,4,3900.0,Developing Customers
CUST0037,Female,West,51.0,46-55,2,2814.61,1407.31,2023-05-20,2023-05-22,2,1,True,227,227,2,2814.61,At Risk / Lost
CUST0038,Female,East,57.0,56-65,5,3050.0,610.0,2023-02-21,2023-12-18,300,2,True,17,17,5,3050.0,Loyal Customers
CUST0039,Female,East,60.0,56-65,4,3500.0,875.0,2023-08-11,2023-12-10,121,1,True,25,25,4,3500.0,Loyal Customers
CUST0040,Female,East,29.0,26-35,2,450.0,225.0,2023-01-30,2023-08-02,184,1,True,155,155,2,450.0,At Risk / Lost
CUST0041,Male,East,64.0,56-65,2,6400.0,3200.0,2023-08-08,2023-10-02,55,1,True,94,94,2,6400.0,Developing Customers
CUST0042,Female,East,57.0,56-65,3,2650.0,883.33,2023-01-04,2023-12-04,334,1,True,31,31,3,2650.0,Developing Customers
CUST0043,Female,North,22.0,18-25,3,520.0,173.33,2023-01-04,2023-10-25,294,0,False,71,71,3,520.0,Developing Customers
CUST0044,Female,East,30.0,26-35,9,4550.0,505.56,2023-02-23,2023-10-28,247,3,True,68,68,9,4550.0,Loyal Customers
CUST0045,Female,East,21.0,18-25,4,3730.0,932.5,2023-07-26,2024-01-03,161,0,False,1,1,4,3730.0,Loyal Customers
CUST0046,Female,East,22.0,18-25,5,7760.0,1552.0,2023-02-25,2023-12-16,294,2,True,19,19,5,7760.0,Loyal Customers
CUST0047,Female,West,41.0,36-45,3,2514.61,838.2,2023-04-23,2023-10-21,181,3,True,75,75,3,2514.61,Developing Customers
CUST0048,Male,North,34.0,26-35,3,1800.0,600.0,2023-04-13,2023-09-23,163,1,True,103,103,3,1800.0,Developing Customers
CUST0049,Female,North,59.0,56-65,2,2700.0,1350.0,2023-02-06,2023-11-26,293,1,True,39,39,2,2700.0,Developing Customers
CUST0050,Female,North,40.0,36-45,2,1590.0,795.0,2023-06-06,2023-07-21,45,1,True,167,167,2,1590.0,At Risk / Lost
CUST0051,Female,West,41.0,36-45,2,5300.0,2650.0,2023-12-07,2024-01-03,27,1,True,1,1,2,5300.0,Developing Customers
CUST0052,Female,East,66.0,66+,9,5860.0,651.11,2023-02-05,2023-09-12,219,2,True,114,114,9,5860.0,Loyal Customers
CUST0053,Female,North,25.0,18-25,5,7550.0,1510.0,2023-07-25,2023-11-20,118,2,True,45,45,5,7550.0,Loyal Customers
CUST0054,Female,North,64.0,56-65,3,950.0,316.67,2023-02-13,2023-10-07,236,0,False,89,89,3,950.0,Developing Customers
CUST0055,Female,East,45.0,36-45,5,2000.0,400.0,2023-01-11,2023-11-25,318,4,True,40,40,5,2000.0,Loyal Customers
CUST0056,Female,South,23.0,18-25,1,400.0,400.0,2024-01-03,2024-01-03,0,1,True,1,1,1,400.0,Developing Customers
CUST0057,Female,East,62.0,56-65,2,450.0,225.0,2023-09-29,2024-01-03,96,0,False,1,1,2,450.0,Developing Customers
CUST0058,Female,East,42.0,36-45,6,8500.0,1416.67,2023-06-06,2023-11-14,161,1,True,51,51,6,8500.0,Loyal Customers
CUST0059,Female,South,18.0,18-25,4,6290.0,1572.5,2023-02-06,2023-08-20,195,1,True,137,137,4,6290.0,Loyal Customers
CUST0060,Female,South,41.0,36-45,5,6900.0,1380.0,2023-01-14,2023-06-26,163,1,True,192,192,5,6900.0,Loyal Customers
CUST0061,Female,South,35.0,26-35,2,1100.0,550.0,2023-05-07,2023-10-25,171,1,True,71,71,2,1100.0,Developing Customers
CUST0062,Female,West,43.0,36-45,3,1700.0,566.67,2023-04-24,2023-11-02,192,2,True,63,63,3,1700.0,Developing Customers
CUST0063,Female,North,20.0,18-25,4,9550.0,2387.5,2023-06-14,2023-11-06,145,1,True,59,59,4,9550.0,Loyal Customers
CUST0064,Female,West,61.0,56-65,7,16209.56,2315.65,2023-03-20,2023-10-28,222,5,True,68,68,7,16209.56,Champions
CUST0065,Female,South,41.0,36-45,5,6500.0,1300.0,2023-01-06,2023-12-01,329,1,True,34,34,5,6500.0,Loyal Customers
CUST0066,Female,West,37.0,36-45,6,5390.0,898.33,2023-01-03,2024-01-03,365,3,True,1,1,6,5390.0,Loyal Customers
CUST0067,Female,North,19.0,18-25,1,6000.0,6000.0,2023-11-08,2023-11-08,0,0,False,57,57,1,6000.0,Developing Customers
CUST0068,Female,East,64.0,56-65,4,1280.0,320.0,2023-04-07,2023-09-24,170,2,True,102,102,4,1280.0,Developing Customers
CUST0069,Female,East,66.0,66+,4,7700.0,1925.0,2023-09-19,2023-12-07,79,1,True,28,28,4,7700.0,Loyal Customers
CUST0070,Female,West,23.0,18-25,3,9200.0,3066.67,2023-04-16,2023-12-21,249,1,True,14,14,3,9200.0,Loyal Customers
CUST0071,Female,East,46.0,46-55,6,3520.0,586.67,2023-01-07,2023-12-10,337,2,True,25,25,6,3520.0,Loyal Customers
CUST0072,Male,East,21.0,18-25,2,500.0,250.0,2023-09-02,2023-09-13,11,0,False,113,113,2,500.0,Developing Customers
CUST0073,Male,East,19.0,18-25,3,2300.0,766.67,2023-01-16,2023-11-18,306,0,False,47,47,3,2300.0,Developing Customers
CUST0074,Male,North,36.0,36-45,1,400.0,400.0,2023-08-28,2023-08-28,0,1,True,129,129,1,400.0,Developing Customers
CUST0075,Female,South,56.0,56-65,2,750.0,375.0,2023-06-23,2023-08-16,54,0,False,141,141,2,750.0,Developing Customers
CUST0076,Male,South,26.0,26-35,4,1930.0,482.5,2023-10-24,2023-12-12,49,1,True,23,23,4,1930.0,Developing Customers
CUST0077,Female,East,50.0,46-55,4,3135.74,783.94,2023-01-08,2023-04-27,109,1,True,252,252,4,3135.74,At Risk / Lost
CUST0078,Female,East,38.0,36-45,4,5800.0,1450.0,2023-02-07,2023-12-26,322,2,True,9,9,4,5800.0,Loyal Customers
CUST0079,Female,North,26.0,26-35,3,6500.0,2166.67,2023-01-04,2023-08-24,232,1,True,133,133,3,6500.0,Developing Customers
CUST0080,Female,East,51.0,46-55,3,5600.0,1866.67,2023-05-27,2023-09-27,123,1,True,99,99,3,5600.0,Developing Customers
CUST0081,Female,North,38.0,36-45,5,4200.0,840.0,2023-01-05,2023-08-27,234,3,True,130,130,5,4200.0,Loyal Customers
CUST0082,Female,Unknown,30.0,26-35,3,4900.0,1633.33,2023-04-21,2023-12-04,227,1,True,31,31,3,4900.0,Developing Customers
CUST0083,Female,East,28.0,26-35,3,1900.0,633.33,2023-02-17,2024-01-03,320,2,True,1,1,3,1900.0,Developing Customers
CUST0085,Female,North,18.0,18-25,3,5050.0,1683.33,2023-01-05,2023-11-25,324,1,True,40,40,3,5050.0,Developing Customers
CUST0086,Male,West,26.0,26-35,2,1600.0,800.0,2023-01-02,2023-07-03,182,0,False,185,185,2,1600.0,At Risk / Lost
CUST0087,Female,North,49.0,46-55,4,4160.0,1040.0,2023-01-20,2023-07-28,189,0,False,160,160,4,4160.0,Developing Customers
CUST0088,Female,West,66.0,66+,4,8300.0,2075.0,2023-02-06,2023-12-08,305,0,False,27,27,4,8300.0,Loyal Customers
CUST0089,Female,North,27.0,26-35,2,990.0,495.0,2023-02-21,2023-09-19,210,0,False,107,107,2,990.0,Developing Customers
CUST0090,Male,West,61.0,56-65,1,6000.0,6000.0,2023-06-13,2023-06-13,0,0,False,205,205,1,6000.0,At Risk / Lost
CUST0091,Female,South,30.0,26-35,6,7970.0,1328.33,2023-03-18,2023-12-14,271,1,True,21,21,6,7970.0,Loyal Customers
CUST0092,Female,East,32.0,26-35,2,2550.0,1275.0,2023-09-28,2023-11-06,39,0,False,59,59,2,2550.0,Developing Customers
CUST0093,Female,North,66.0,66+,2,1800.0,900.0,2023-02-27,2023-05-03,65,0,False,246,246,2,1800.0,At Risk / Lost
CUST0094,Male,North,30.0,26-35,2,1900.0,950.0,2023-04-18,2023-12-22,248,0,False,13,13,2,1900.0,Developing Customers
CUST0095,Female,East,60.0,56-65,9,22440.0,2493.33,2023-01-12,2023-12-19,341,2,True,16,16,9,22440.0,Champions
CUST0096,Female,North,61.0,56-65,2,7200.0,3600.0,2023-02-07,2023-03-09,30,0,False,301,301,2,7200.0,At Risk / Lost
CUST0097,Female,East,34.0,26-35,2,800.0,400.0,2023-05-21,2023-06-25,35,2,True,193,193,2,800.0,At Risk / Lost
CUST0098,Female,East,57.0,56-65,1,400.0,400.0,2023-02-28,2023-02-28,0,0,False,310,310,1,400.0,At Risk / Lost
CUST0099,Female,South,26.0,26-35,2,6200.0,3100.0,2023-08-12,2023-10-06,55,1,True,90,90,2,6200.0,Developing Customers
CUST0100,Male,West,29.0,26-35,1,100.0,100.0,2023-04-14,2023-04-14,0,1,True,265,265,1,100.0,At Risk / Lost
CUST0101,Female,East,53.0,46-55,4,5500.0,1375.0,2023-03-31,2023-12-04,248,0,False,31,31,4,5500.0,Loyal Customers
CUST0102,Male,West,25.0,18-25,1,900.0,900.0,2023-10-21,2023-10-21,0,0,False,75,75,1,900.0,Developing Customers
CUST0103,Female,North,23.0,18-25,4,2110.0,527.5,2023-04-10,2023-11-15,219,1,True,50,50,4,2110.0,Developing Customers
CUST0104,Female,East,40.0,36-45,3,600.0,200.0,2023-06-17,2023-10-19,124,0,False,77,77,3,600.0,Developing Customers
CUST0105,Female,South,27.0,26-35,6,5150.0,858.33,2023-01-18,2023-12-31,347,2,True,4,4,6,5150.0,Loyal Customers
CUST0106,Female,East,50.0,46-55,5,11150.0,2230.0,2023-06-08,2023-12-07,182,1,True,28,28,5,11150.0,Loyal Customers
CUST0107,Female,South,67.0,66+,3,6750.0,2250.0,2023-06-08,2023-11-03,148,2,True,62,62,3,6750.0,Developing Customers
CUST0108,Female,East,,Unknown,2,400.0,200.0,2023-10-19,2024-01-03,76,1,True,1,1,2,400.0,Developing Customers
CUST0109,Female,Unknown,57.0,56-65,5,6980.0,1396.0,2023-01-10,2023-09-08,241,1,True,118,118,5,6980.0,Loyal Customers
CUST0111,Female,West,19.0,18-25,1,900.0,900.0,2023-05-16,2023-05-16,0,0,False,233,233,1,900.0,At Risk / Lost
CUST0112,Female,West,33.0,26-35,4,9800.0,2450.0,2023-01-17,2023-12-08,325,2,True,27,27,4,9800.0,Loyal Customers
CUST0113,Female,South,38.0,36-45,4,7800.0,1950.0,2023-01-26,2023-09-14,231,2,True,112,112,4,7800.0,Loyal Customers
CUST0114,Female,South,60.0,56-65,3,3350.0,1116.67,2023-02-06,2023-08-12,187,0,False,145,145,3,3350.0,Developing Customers
CUST0115,Female,South,53.0,46-55,3,1590.0,530.0,2023-04-25,2023-07-22,88,1,True,166,166,3,1590.0,At Risk / Lost
CUST0116,Female,South,20.0,18-25,5,1520.0,304.0,2023-01-05,2023-09-30,268,2,True,96,96,5,1520.0,Loyal Customers
CUST0117,Female,North,22.0,18-25,2,450.0,225.0,2023-01-25,2023-07-20,176,1,True,168,168,2,450.0,At Risk / Lost
CUST0118,Female,West,23.0,18-25,4,3450.0,862.5,2023-01-16,2023-10-19,276,1,True,77,77,4,3450.0,Developing Customers
CUST0120,Female,North,35.0,26-35,2,550.0,275.0,2023-01-30,2023-07-23,174,0,False,165,165,2,550.0,At Risk / Lost
CUST0121,Female,North,66.0,66+,2,1150.0,575.0,2023-09-19,2023-12-12,84,2,True,23,23,2,1150.0,Developing Customers
CUST0122,Male,East,68.0,66+,6,6100.0,1016.67,2023-08-16,2023-12-16,122,2,True,19,19,6,6100.0,Loyal Customers
CUST0123,Male,North,52.0,46-55,2,7900.0,3950.0,2023-09-25,2023-11-22,58,0,False,43,43,2,7900.0,Developing Customers
CUST0124,Female,South,53.0,46-55,6,6000.0,1000.0,2023-03-16,2023-09-05,173,3,True,121,121,6,6000.0,Loyal Customers
CUST0125,Female,West,46.0,46-55,4,8720.0,2180.0,2023-01-26,2024-01-03,342,2,True,1,1,4,8720.0,Loyal Customers
CUST0126,Female,North,66.0,66+,5,2560.0,512.0,2023-03-07,2023-12-24,292,2,True,11,11,5,2560.0,Loyal Customers
CUST0127,Female,North,62.0,56-65,3,3800.0,1266.67,2023-07-10,2023-11-01,114,0,False,64,64,3,3800.0,Developing Customers
CUST0128,Female,East,52.0,46-55,5,7265.74,1453.15,2023-02-28,2023-10-25,239,1,True,71,71,5,7265.74,Loyal Customers
CUST0129,Female,South,66.0,66+,5,13460.0,2692.0,2023-03-07,2023-11-14,252,0,False,51,51,5,13460.0,Champions
CUST0130,Female,East,68.0,66+,5,2650.0,530.0,2023-02-02,2023-12-23,324,2,True,12,12,5,2650.0,Loyal Customers
CUST0131,Female,East,67.0,66+,8,27618.24,3452.28,2023-05-03,2023-11-17,198,0,False,48,48,8,27618.24,Champions
CUST0133,Female,East,47.0,46-55,7,11100.0,1585.71,2023-04-01,2023-12-13,256,1,True,22,22,7,11100.0,Loyal Customers
CUST0134,Female,North,58.0,56-65,3,4809.56,1603.19,2023-02-11,2023-08-05,175,1,True,152,152,3,4809.56,Developing Customers
CUST0135,Male,West,41.0,36-45,1,200.0,200.0,2023-06-06,2023-06-06,0,0,False,212,212,1,200.0,At Risk / Lost
CUST0136,Female,East,36.0,36-45,3,500.0,166.67,2023-07-09,2023-11-11,125,2,True,54,54,3,500.0,Developing Customers
CUST0137,Female,West,19.0,18-25,5,8700.0,1740.0,2023-05-20,2023-12-08,202,2,True,27,27,5,8700.0,Loyal Customers
CUST0138,Female,East,46.0,46-55,4,15569.12,3892.28,2023-03-16,2023-12-08,267,1,True,27,27,4,15569.12,Champions
CUST0139,Female,North,57.0,56-65,7,18350.0,2621.43,2023-01-02,2023-12-31,363,2,True,4,4,7,18350.0,Champions
CUST0140,Male,East,50.0,46-55,3,1090.0,363.33,2023-01-05,2023-05-25,140,1,True,224,224,3,1090.0,At Risk / Lost
CUST0141,Female,East,58.0,56-65,2,1230.0,615.0,2023-03-03,2023-10-03,214,0,False,93,93,2,1230.0,Developing Customers
CUST0142,Female,South,32.0,26-35,7,5150.0,735.71,2023-01-01,2023-12-26,359,2,True,9,9,7,5150.0,Loyal Customers
CUST0143,Female,Unknown,36.0,36-45,1,600.0,600.0,2023-07-14,2023-07-14,0,0,False,174,174,1,600.0,At Risk / Lost
CUST0144,Female,South,54.0,46-55,5,17320.0,3464.0,2023-02-13,2023-12-01,291,2,True,34,34,5,17320.0,Champions
CUST0145,Male,North,51.0,46-55,3,2300.0,766.67,2023-01-14,2023-12-08,328,1,True,27,27,3,2300.0,Developing Customers
CUST0146,Female,East,47.0,46-55,2,5300.0,2650.0,2023-01-13,2023-09-11,241,0,False,115,115,2,5300.0,Developing Customers
CUST0147,Male,North,64.0,56-65,1,400.0,400.0,2023-01-11,2023-01-11,0,0,False,358,358,1,400.0,At Risk / Lost
CUST0148,Female,West,67.0,66+,5,1670.0,334.0,2023-02-20,2023-11-09,262,1,True,56,56,5,1670.0,Loyal Customers
CUST0149,Female,East,40.0,36-45,5,3850.0,770.0,2023-05-20,2023-12-27,221,2,True,8,8,5,3850.0,Loyal Customers
CUST0150,Female,North,63.0,56-65,4,6110.96,1527.74,2023-05-06,2023-08-23,109,1,True,134,134,4,6110.96,Loyal Customers
CUST0152,Female,East,69.0,66+,6,5730.0,955.0,2023-03-25,2023-11-14,234,2,True,51,51,6,5730.0,Loyal Customers
CUST0153,Female,East,40.0,36-45,3,860.0,286.67,2023-02-02,2023-11-21,292,2,True,44,44,3,860.0,Developing Customers
CUST0154,Female,North,31.0,26-35,4,1580.0,395.0,2023-02-27,2023-12-07,283,1,True,28,28,4,1580.0,Developing Customers
CUST0155,Female,North,41.0,36-45,4,3800.0,950.0,2023-02-02,2023-10-11,251,1,True,85,85,4,3800.0,Developing Customers
CUST0156,Female,East,57.0,56-65,4,12000.0,3000.0,2023-01-27,2023-12-29,336,2,True,6,6,4,12000.0,Loyal Customers
CUST0157,Female,East,48.0,46-55,1,200.0,200.0,2023-05-22,2023-05-22,0,0,False,227,227,1,200.0,At Risk / Lost
CUST0158,Female,North,51.0,46-55,3,2300.0,766.67,2023-03-20,2023-10-03,197,1,True,93,93,3,2300.0,Developing Customers
CUST0159,Female,North,18.0,18-25,6,6650.0,1108.33,2023-01-21,2023-10-26,278,4,True,70,70,6,6650.0,Loyal Customers
CUST0160,Female,South,69.0,66+,6,13750.0,2291.67,2023-02-03,2023-11-15,285,2,True,50,50,6,13750.0,Champions
CUST0161,Male,West,62.0,56-65,1,600.0,600.0,2023-01-03,2023-01-03,0,1,True,366,366,1,600.0,At Risk / Lost
CUST0162,Female,East,69.0,66+,3,5400.0,1800.0,2023-05-26,2023-10-09,136,2,True,87,87,3,5400.0,Developing Customers
CUST0163,Female,North,22.0,18-25,1,300.0,300.0,2023-10-12,2023-10-12,0,1,True,84,84,1,300.0,Developing Customers
CUST0164,Male,South,50.0,46-55,1,900.0,900.0,2023-03-16,2023-03-16,0,0,False,294,294,1,900.0,At Risk / Lost
CUST0165,Female,West,49.0,46-55,2,250.0,125.0,2023-05-23,2023-12-25,216,1,True,10,10,2,250.0,Developing Customers
CUST0166,Female,West,29.0,26-35,1,120.0,120.0,2023-11-19,2023-11-19,0,1,True,46,46,1,120.0,Developing Customers
CUST0167,Female,North,67.0,66+,2,800.0,400.0,2023-03-27,2023-12-14,262,1,True,21,21,2,800.0,Developing Customers
CUST0168,Female,South,42.0,36-45,5,3250.0,650.0,2023-02-21,2023-11-16,268,0,False,49,49,5,3250.0,Loyal Customers
CUST0169,Female,South,54.0,46-55,1,300.0,300.0,2023-08-28,2023-08-28,0,1,True,129,129,1,300.0,Developing Customers
CUST0170,Female,South,40.0,36-45,2,250.0,125.0,2023-11-23,2023-12-22,29,0,False,13,13,2,250.0,Developing Customers
CUST0171,Male,East,21.0,18-25,1,500.0,500.0,2023-01-14,2023-01-14,0,0,False,355,355,1,500.0,At Risk / Lost
CUST0172,Female,East,56.0,56-65,2,1620.0,810.0,2023-07-20,2023-11-23,126,1,True,42,42,2,1620.0,Developing Customers
CUST0173,Female,South,65.0,56-65,4,9250.0,2312.5,2023-01-19,2023-12-22,337,1,True,13,13,4,9250.0,Loyal Customers
CUST0174,Female,East,68.0,66+,7,5630.0,804.29,2023-05-04,2023-12-12,222,2,True,23,23,7,5630.0,Loyal Customers
CUST0176,Female,South,51.0,46-55,5,12400.0,2480.0,2023-05-30,2023-11-16,170,0,False,49,49,5,12400.0,Loyal Customers
CUST0177,Female,East,29.0,26-35,3,1430.0,476.67,2023-02-25,2023-03-18,21,0,False,292,292,3,1430.0,At Risk / Lost
CUST0178,Female,East,44.0,36-45,4,13675.3,3418.83,2023-01-20,2023-10-28,281,0,False,68,68,4,13675.3,Loyal Customers
CUST0179,Male,North,45.0,36-45,3,4500.0,1500.0,2023-03-16,2023-11-13,242,1,True,52,52,3,4500.0,Developing Customers
CUST0180,Male,East,68.0,66+,3,3950.0,1316.67,2023-04-02,2023-10-18,199,0,False,78,78,3,3950.0,Developing Customers
CUST0181,Male,East,59.0,56-65,2,1800.0,900.0,2023-02-08,2023-10-23,257,0,False,73,73,2,1800.0,Developing Customers
CUST0182,Female,West,19.0,18-25,5,5080.0,1016.0,2023-01-22,2023-10-24,275,1,True,72,72,5,5080.0,Loyal Customers
CUST0183,Female,West,42.0,36-45,3,3450.0,1150.0,2023-01-16,2023-10-21,278,1,True,75,75,3,3450.0,Developing Customers
CUST0184,Female,East,54.0,46-55,3,4890.0,1630.0,2023-06-15,2023-08-30,76,2,True,127,127,3,4890.0,Developing Customers
CUST0185,Female,North,29.0,26-35,3,9200.0,3066.67,2023-09-06,2023-12-22,107,0,False,13,13,3,9200.0,Loyal Customers
CUST0186,Female,East,55.0,46-55,5,3480.0,696.0,2023-01-10,2023-10-20,283,2,True,76,76,5,3480.0,Loyal Customers
CUST0187,Female,East,25.0,18-25,2,7700.0,3850.0,2023-03-04,2023-10-24,234,0,False,72,72,2,7700.0,Developing Customers
CUST0188,Male,West,29.0,26-35,3,5350.0,1783.33,2023-02-24,2023-07-26,152,1,True,162,162,3,5350.0,Developing Customers
CUST0189,Female,East,38.0,36-45,4,5080.0,1270.0,2023-02-22,2023-07-19,147,1,True,169,169,4,5080.0,Developing Customers
CUST0190,Male,North,28.0,26-35,1,200.0,200.0,2023-06-28,2023-06-28,0,0,False,190,190,1,200.0,At Risk / Lost
CUST0191,Female,Unknown,41.0,36-45,1,6000.0,6000.0,2023-08-01,2023-08-01,0,0,False,156,156,1,6000.0,At Risk / Lost
CUST0192,Female,North,58.0,56-65,3,980.0,326.67,2023-05-15,2024-01-03,233,0,False,1,1,3,980.0,Developing Customers
CUST0193,Female,North,64.0,56-65,4,7500.0,1875.0,2023-02-19,2023-11-06,260,0,False,59,59,4,7500.0,Loyal Customers
CUST0194,Female,South,61.0,56-65,2,92.19,46.1,2023-01-28,2023-04-16,78,1,True,263,263,2,92.19,At Risk / Lost
CUST0195,Female,West,48.0,46-55,3,1300.0,433.33,2023-01-08,2023-10-31,296,1,True,65,65,3,1300.0,Developing Customers
CUST0196,Female,East,37.0,36-45,7,6590.0,941.43,2023-01-05,2023-12-27,356,3,True,8,8,7,6590.0,Loyal Customers
CUST0197,Female,North,54.0,46-55,5,16150.0,3230.0,2023-04-28,2023-12-09,225,0,False,26,26,5,16150.0,Champions
CUST0198,Male,South,56.0,56-65,4,8500.0,2125.0,2023-05-20,2023-12-30,224,2,True,5,5,4,8500.0,Loyal Customers
CUST0199,Female,North,41.0,36-45,6,6340.0,1056.67,2023-01-18,2024-01-03,350,3,True,1,1,6,6340.0,Loyal Customers
CUST0200,Female,North,68.0,66+,4,16700.0,4175.0,2023-01-11,2023-08-06,207,3,True,151,151,4,16700.0,Champions
CUST0201,Female,West,49.0,46-55,8,8460.0,1057.5,2023-01-05,2024-01-03,363,2,True,1,1,8,8460.0,Loyal Customers
CUST0202,Male,South,56.0,56-65,4,5090.0,1272.5,2023-01-05,2024-01-03,363,0,False,1,1,4,5090.0,Loyal Customers
CUST0203,Female,East,33.0,26-35,5,12480.0,2496.0,2023-01-03,2023-10-05,275,2,True,91,91,5,12480.0,Loyal Customers
CUST0204,Female,East,54.0,46-55,9,37147.8,4127.53,2023-02-20,2023-10-20,242,4,True,76,76,9,37147.8,Champions
CUST0205,Female,South,43.0,36-45,2,700.0,350.0,2023-05-18,2023-10-09,144,0,False,87,87,2,700.0,Developing Customers
CUST0206,Female,South,43.0,36-45,2,7700.0,3850.0,2023-05-03,2023-08-14,103,0,False,143,143,2,7700.0,Developing Customers
CUST0207,Male,South,54.0,46-55,2,1700.0,850.0,2023-03-14,2024-01-03,295,1,True,1,1,2,1700.0,Developing Customers
