"customer_id","gender","most_common_region","age","age_band","total_orders","lifetime_spend","avg_order_value","first_order_date","last_order_date","customer_tenure_days","return_count","has_return_flag"
"CUST0020","Female","North",55,"46-55","2","3500.00","1750.00","2023-09-13","2023-10-26",43,"1",True
"CUST0021","Female","East",43,"36-45","2","320.00","160.00","2023-09-24","2023-12-28",95,"0",False
"CUST0022","Female","North",33,"26-35","5","5930.00","1186.00","2023-02-27","2023-11-21",267,"2",True
"CUST0023","Female","South",29,"26-35","5","10450.00","2090.00","2023-01-07","2023-11-01",298,"2",True
"CUST0024","Female","East",57,"56-65","3","2500.00","833.33","2023-09-02","2023-12-08",97,"1",True
"CUST0025","Female","East",56,"56-65","3","1500.00","500.00","2023-05-22","2023-11-25",187,"2",True
"CUST0026","Female","East",27,"26-35","2","4300.00","2150.00","2023-05-02","2023-11-23",205,"1",True
"CUST0027","Female","North",36,"36-45","3","6850.00","2283.33","2023-03-19","2023-10-16",211,"2",True
"CUST0028","Female","East",50,"46-55","7","4850.00","692.86","2023-01-17","2023-11-07",294,"0",False
"CUST0029","Female","South",66,"66+","2","3300.00","1650.00","2023-04-03","2023-10-10",190,"0",False
"CUST0030","Female","East",44,"36-45","2","4400.00","2200.00","2023-05-11","2023-07-03",53,"1",True
"CUST0031","Female","East",67,"66+","7","12800.00","1828.57","2023-03-26","2023-12-14",263,"1",True
"CUST0032","Female","North",63,"56-65","4","7720.00","1930.00","2023-03-11","2023-12-30",294,"2",True
"CUST0033","Female","South",NULL,"Unknown","1","600.00","600.00","2023-04-12","2023-04-12",0,"0",False
"CUST0034","Female","East",65,"56-65","3","7700.00","2566.67","2023-04-08","2023-11-17",223,"1",True
"CUST0035","Female","South",20,"18-25","2","270.00","135.00","2023-07-22","2023-09-16",56,"2",True
"CUST0036","Female","South",33,"26-35","4","3900.00","975.00","2023-05-07","2023-08-02",87,"1",True
"CUST0037","Female","West",51,"46-55","2","2814.61","1407.31","2023-05-20","2023-05-22",2,"1",True
"CUST0038","Female","East",57,"56-65","5","3050.00","610.00","2023-02-21","2023-12-18",300,"2",True
"CUST0039","Female","East",60,"56-65","4","3500.00","875.00","2023-08-11","2023-12-10",121,"1",True
"CUST0040","Female","East",29,"26-35","2","450.00","225.00","2023-01-30","2023-08-02",184,"1",True
"CUST0041","Male","East",64,"56-65","2","6400.00","3200.00","2023-08-08","2023-10-02",55,"1",True
"CUST0042","Female","East",57,"56-65","3","2650.00","883.33","2023-01-04","2023-12-04",334,"1",True
"CUST0043","Female","North",22,"18-25","3","520.00","173.33","2023-01-04","2023-10-25",294,"0",False
"CUST0044","Female","East",30,"26-35","9","4550.00","505.56","2023-02-23","2023-10-28",247,"3",True
"CUST0045","Female","East",21,"18-25","4","3730.00","932.50","2023-07-26","2024-01-03",161,"0",False
"CUST0046","Female","East",22,"18-25","5","7760.00","1552.00","2023-02-25","2023-12-16",294,"2",True
"CUST0047","Female","West",41,"36-45","3","2514.61","838.20","2023-04-23","2023-10-21",181,"3",True
"CUST0048","Male","North",34,"26-35","3","1800.00","600.00","2023-04-13","2023-09-23",163,"1",True
"CUST0049","Female","North",59,"56-65","2","2700.00","1350.00","2023-02-06","2023-11-26",293,"1",True
"CUST0050","Female","North",40,"36-45","2","1590.00","795.00","2023-06-06","2023-07-21",45,"1",True
"CUST0051","Female","West",41,"36-45","2","5300.00","2650.00","2023-12-07","2024-01-03",27,"1",True
"CUST0052","Female","East",66,"66+","9","5860.00","651.11","2023-02-05","2023-09-12",219,"2",True
"CUST0053","Female","North",25,"18-25","5","7550.00","1510.00","2023-07-25","2023-11-20",118,"2",True
"CUST0054","Female","North",64,"56-65","3","950.00","316.67","2023-02-13","2023-10-07",236,"0",False
"CUST0055","Female","East",45,"36-45","5","2000.00","400.00","2023-01-11","2023-11-25",318,"4",True
"CUST0056","Female","South",23,"18-25","1","400.00","400.00","2024-01-03","2024-01-03",0,"1",True
"CUST0057","Female","East",62,"56-65","2","450.00","225.00","2023-09-29","2024-01-03",96,"0",False
"CUST0058","Female","East",42,"36-45","6","8500.00","1416.67","2023-06-06","2023-11-14",161,"1",True
"CUST0059","Female","South",18,"18-25","4","6290.00","1572.50","2023-02-06","2023-08-20",195,"1",True
"CUST0060","Female","South",41,"36-45","5","6900.00","1380.00","2023-01-14","2023-06-26",163,"1",True
"CUST0061","Female","South",35,"26-35","2","1100.00","550.00","2023-05-07","2023-10-25",171,"1",True
"CUST0062","Female","West",43,"36-45","3","1700.00","566.67","2023-04-24","2023-11-02",192,"2",True
"CUST0063","Female","North",20,"18-25","4","9550.00","2387.50","2023-06-14","2023-11-06",145,"1",True
"CUST0064","Female","West",61,"56-65","7","16209.56","2315.65","2023-03-20","2023-10-28",222,"5",True
"CUST0065","Female","South",41,"36-45","5","6500.00","1300.00","2023-01-06","2023-12-01",329,"1",True
"CUST0066","Female","West",37,"36-45","6","5390.00","898.33","2023-01-03","2024-01-03",365,"3",True
"CUST0067","Female","North",19,"18-25","1","6000.00","6000.00","2023-11-08","2023-11-08",0,"0",False
"CUST0068","Female","East",64,"56-65","4","1280.00","320.00","2023-04-07","2023-09-24",170,"2",True
"CUST0069","Female","East",66,"66+","4","7700.00","1925.00","2023-09-19","2023-12-07",79,"1",True
"CUST0070","Female","West",23,"18-25","3","9200.00","3066.67","2023-04-16","2023-12-21",249,"1",True
"CUST0071","Female","East",46,"46-55","6","3520.00","586.67","2023-01-07","2023-12-10",337,"2",True
"CUST0072","Male","East",21,"18-25","2","500.00","250.00","2023-09-02","2023-09-13",11,"0",False
"CUST0073","Male","East",19,"18-25","3","2300.00","766.67","2023-01-16","2023-11-18",306,"0",False
"CUST0074","Male","North",36,"36-45","1","400.00","400.00","2023-08-28","2023-08-28",0,"1",True
"CUST0075","Female","South",56,"56-65","2","750.00","375.00","2023-06-23","2023-08-16",54,"0",False
"CUST0076","Male","South",26,"26-35","4","1930.00","482.50","2023-10-24","2023-12-12",49,"1",True
"CUST0077","Female","East",50,"46-55","4","3135.74","783.94","2023-01-08","2023-04-27",109,"1",True
"CUST0078","Female","East",38,"36-45","4","5800.00","1450.00","2023-02-07","2023-12-26",322,"2",True
"CUST0079","Female","North",26,"26-35","3","6500.00","2166.67","2023-01-04","2023-08-24",232,"1",True
"CUST0080","Female","East",51,"46-55","3","5600.00","1866.67","2023-05-27","2023-09-27",123,"1",True
"CUST0081","Female","North",38,"36-45","5","4200.00","840.00","2023-01-05","2023-08-27",234,"3",True
"CUST0082","Female","Unknown",30,"26-35","3","4900.00","1633.33","2023-04-21","2023-12-04",227,"1",True
"CUST0083","Female","East",28,"26-35","3","1900.00","633.33","2023-02-17","2024-01-03",320,"2",True
"CUST0085","Female","North",18,"18-25","3","5050.00","1683.33","2023-01-05","2023-11-25",324,"1",True
"CUST0086","Male","West",26,"26-35","2","1600.00","800.00","2023-01-02","2023-07-03",182,"0",False
"CUST0087","Female","North",49,"46-55","4","4160.00","1040.00","2023-01-20","2023-07-28",189,"0",False
"CUST0088","Female","West",66,"66+","4","8300.00","2075.00","2023-02-06","2023-12-08",305,"0",False
"CUST0089","Female","North",27,"26-35","2","990.00","495.00","2023-02-21","2023-09-19",210,"0",False
"CUST0090","Male","West",61,"56-65","1","6000.00","6000.00","2023-06-13","2023-06-13",0,"0",False
"CUST0091","Female","South",30,"26-35","6","7970.00","1328.33","2023-03-18","2023-12-14",271,"1",True
"CUST0092","Female","East",32,"26-35","2","2550.00","1275.00","2023-09-28","2023-11-06",39,"0",False
"CUST0093","Female","North",66,"66+","2","1800.00","900.00","2023-02-27","2023-05-03",65,"0",False
"CUST0094","Male","North",30,"26-35","2","1900.00","950.00","2023-04-18","2023-12-22",248,"0",False
"CUST0095","Female","East",60,"56-65","9","22440.00","2493.33","2023-01-12","2023-12-19",341,"2",True
"CUST0096","Female","North",61,"56-65","2","7200.00","3600.00","2023-02-07","2023-03-09",30,"0",False
"CUST0097","Female","East",34,"26-35","2","800.00","400.00","2023-05-21","2023-06-25",35,"2",True
"CUST0098","Female","East",57,"56-65","1","400.00","400.00","2023-02-28","2023-02-28",0,"0",False
"CUST0099","Female","South",26,"26-35","2","6200.00","3100.00","2023-08-12","2023-10-06",55,"1",True
"CUST0100","Male","West",29,"26-35","1","100.00","100.00","2023-04-14","2023-04-14",0,"1",True
"CUST0101","Female","East",53,"46-55","4","5500.00","1375.00","2023-03-31","2023-12-04",248,"0",False
"CUST0102","Male","West",25,"18-25","1","900.00","900.00","2023-10-21","2023-10-21",0,"0",False
"CUST0103","Female","North",23,"18-25","4","2110.00","527.50","2023-04-10","2023-11-15",219,"1",True
"CUST0104","Female","East",40,"36-45","3","600.00","200.00","2023-06-17","2023-10-19",124,"0",False
"CUST0105","Female","South",27,"26-35","6","5150.00","858.33","2023-01-18","2023-12-31",347,"2",True
"CUST0106","Female","East",50,"46-55","5","11150.00","2230.00","2023-06-08","2023-12-07",182,"1",True
"CUST0107","Female","South",67,"66+","3","6750.00","2250.00","2023-06-08","2023-11-03",148,"2",True
"CUST0108","Female","East",NULL,"Unknown","2","400.00","200.00","2023-10-19","2024-01-03",76,"1",True
"CUST0109","Female","Unknown",57,"56-65","5","6980.00","1396.00","2023-01-10","2023-09-08",241,"1",True
"CUST0111","Female","West",19,"18-25","1","900.00","900.00","2023-05-16","2023-05-16",0,"0",False
"CUST0112","Female","West",33,"26-35","4","9800.00","2450.00","2023-01-17","2023-12-08",325,"2",True
"CUST0113","Female","South",38,"36-45","4","7800.00","1950.00","2023-01-26","2023-09-14",231,"2",True
"CUST0114","Female","South",60,"56-65","3","3350.00","1116.67","2023-02-06","2023-08-12",187,"0",False
"CUST0115","Female","South",53,"46-55","3","1590.00","530.00","2023-04-25","2023-07-22",88,"1",True
"CUST0116","Female","South",20,"18-25","5","1520.00","304.00","2023-01-05","2023-09-30",268,"2",True
"CUST0117","Female","North",22,"18-25","2","450.00","225.00","2023-01-25","2023-07-20",176,"1",True
"CUST0118","Female","West",23,"18-25","4","3450.00","862.50","2023-01-16","2023-10-19",276,"1",True
"CUST0120","Female","North",35,"26-35","2","550.00","275.00","2023-01-30","2023-07-23",174,"0",False
"CUST0121","Female","North",66,"66+","2","1150.00","575.00","2023-09-19","2023-12-12",84,"2",True
"CUST0122","Male","East",68,"66+","6","6100.00","1016.67","2023-08-16","2023-12-16",122,"2",True
"CUST0123","Male","North",52,"46-55","2","7900.00","3950.00","2023-09-25","2023-11-22",58,"0",False
"CUST0124","Female","South",53,"46-55","6","6000.00","1000.00","2023-03-16","2023-09-05",173,"3",True
"CUST0125","Female","West",46,"46-55","4","8720.00","2180.00","2023-01-26","2024-01-03",342,"2",True
"CUST0126","Female","North",66,"66+","5","2560.00","512.00","2023-03-07","2023-12-24",292,"2",True
"CUST0127","Female","North",62,"56-65","3","3800.00","1266.67","2023-07-10","2023-11-01",114,"0",False
"CUST0128","Female","East",52,"46-55","5","7265.74","1453.15","2023-02-28","2023-10-25",239,"1",True
"CUST0129","Female","South",66,"66+","5","13460.00","2692.00","2023-03-07","2023-11-14",252,"0",False
"CUST0130","Female","East",68,"66+","5","2650.00","530.00","2023-02-02","2023-12-23",324,"2",True
"CUST0131","Female","East",67,"66+","8","27618.24","3452.28","2023-05-03","2023-11-17",198,"0",False
"CUST0133","Female","East",47,"46-55","7","11100.00","1585.71","2023-04-01","2023-12-13",256,"1",True
"CUST0134","Female","North",58,"56-65","3","4809.56","1603.19","2023-02-11","2023-08-05",175,"1",True
"CUST0135","Male","West",41,"36-45","1","200.00","200.00","2023-06-06","2023-06-06",0,"0",False
"CUST0136","Female","East",36,"36-45","3","500.00","166.67","2023-07-09","2023-11-11",125,"2",True
"CUST0137","Female","West",19,"18-25","5","8700.00","1740.00","2023-05-20","2023-12-08",202,"2",True
"CUST0138","Female","East",46,"46-55","4","15569.12","3892.28","2023-03-16","2023-12-08",267,"1",True
"CUST0139","Female","North",57,"56-65","7","18350.00","2621.43","2023-01-02","2023-12-31",363,"2",True
"CUST0140","Male","East",50,"46-55","3","1090.00","363.33","2023-01-05","2023-05-25",140,"1",True
"CUST0141","Female","East",58,"56-65","2","1230.00","615.00","2023-03-03","2023-10-03",214,"0",False
"CUST0142","Female","South",32,"26-35","7","5150.00","735.71","2023-01-01","2023-12-26",359,"2",True
"CUST0143","Female","Unknown",36,"36-45","1","600.00","600.00","2023-07-14","2023-07-14",0,"0",False
"CUST0144","Female","South",54,"46-55","5","17320.00","3464.00","2023-02-13","2023-12-01",291,"2",True
"CUST0145","Male","North",51,"46-55","3","2300.00","766.67","2023-01-14","2023-12-08",328,"1",True
"CUST0146","Female","East",47,"46-55","2","5300.00","2650.00","2023-01-13","2023-09-11",241,"0",False
"CUST0147","Male","North",64,"56-65","1","400.00","400.00","2023-01-11","2023-01-11",0,"0",False
"CUST0148","Female","West",67,"66+","5","1670.00","334.00","2023-02-20","2023-11-09",262,"1",True
"CUST0149","Female","East",40,"36-45","5","3850.00","770.00","2023-05-20","2023-12-27",221,"2",True
"CUST0150","Female","North",63,"56-65","4","6110.96","1527.74","2023-05-06","2023-08-23",109,"1",True
"CUST0152","Female","East",69,"66+","6","5730.00","955.00","2023-03-25","2023-11-14",234,"2",True
"CUST0153","Female","East",40,"36-45","3","860.00","286.67","2023-02-02","2023-11-21",292,"2",True
"CUST0154","Female","North",31,"26-35","4","1580.00","395.00","2023-02-27","2023-12-07",283,"1",True
"CUST0155","Female","North",41,"36-45","4","3800.00","950.00","2023-02-02","2023-10-11",251,"1",True
"CUST0156","Female","East",57,"56-65","4","12000.00","3000.00","2023-01-27","2023-12-29",336,"2",True
"CUST0157","Female","East",48,"46-55","1","200.00","200.00","2023-05-22","2023-05-22",0,"0",False
"CUST0158","Female","North",51,"46-55","3","2300.00","766.67","2023-03-20","2023-10-03",197,"1",True
"CUST0159","Female","North",18,"18-25","6","6650.00","1108.33","2023-01-21","2023-10-26",278,"4",True
"CUST0160","Female","South",69,"66+","6","13750.00","2291.67","2023-02-03","2023-11-15",285,"2",True
"CUST0161","Male","West",62,"56-65","1","600.00","600.00","2023-01-03","2023-01-03",0,"1",True
"CUST0162","Female","East",69,"66+","3","5400.00","1800.00","2023-05-26","2023-10-09",136,"2",True
"CUST0163","Female","North",22,"18-25","1","300.00","300.00","2023-10-12","2023-10-12",0,"1",True
"CUST0164","Male","South",50,"46-55","1","900.00","900.00","2023-03-16","2023-03-16",0,"0",False
"CUST0165","Female","West",49,"46-55","2","250.00","125.00","2023-05-23","2023-12-25",216,"1",True
"CUST0166","Female","West",29,"26-35","1","120.00","120.00","2023-11-19","2023-11-19",0,"1",True
"CUST0167","Female","North",67,"66+","2","800.00","400.00","2023-03-27","2023-12-14",262,"1",True
"CUST0168","Female","South",42,"36-45","5","3250.00","650.00","2023-02-21","2023-11-16",268,"0",False
"CUST0169","Female","South",54,"46-55","1","300.00","300.00","2023-08-28","2023-08-28",0,"1",True
"CUST0170","Female","South",40,"36-45","2","250.00","125.00","2023-11-23","2023-12-22",29,"0",False
"CUST0171","Male","East",21,"18-25","1","500.00","500.00","2023-01-14","2023-01-14",0,"0",False
"CUST0172","Female","East",56,"56-65","2","1620.00","810.00","2023-07-20","2023-11-23",126,"1",True
"CUST0173","Female","South",65,"56-65","4","9250.00","2312.50","2023-01-19","2023-12-22",337,"1",True
"CUST0174","Female","East",68,"66+","7","5630.00","804.29","2023-05-04","2023-12-12",222,"2",True
"CUST0176","Female","South",51,"46-55","5","12400.00","2480.00","2023-05-30","2023-11-16",170,"0",False
"CUST0177","Female","East",29,"26-35","3","1430.00","476.67","2023-02-25","2023-03-18",21,"0",False
"CUST0178","Female","East",44,"36-45","4","13675.30","3418.83","2023-01-20","2023-10-28",281,"0",False
"CUST0179","Male","North",45,"36-45","3","4500.00","1500.00","2023-03-16","2023-11-13",242,"1",True
"CUST0180","Male","East",68,"66+","3","3950.00","1316.67","2023-04-02","2023-10-18",199,"0",False
"CUST0181","Male","East",59,"56-65","2","1800.00","900.00","2023-02-08","2023-10-23",257,"0",False
"CUST0182","Female","West",19,"18-25","5","5080.00","1016.00","2023-01-22","2023-10-24",275,"1",True
"CUST0183","Female","West",42,"36-45","3","3450.00","1150.00","2023-01-16","2023-10-21",278,"1",True
"CUST0184","Female","East",54,"46-55","3","4890.00","1630.00","2023-06-15","2023-08-30",76,"2",True
"CUST0185","Female","North",29,"26-35","3","9200.00","3066.67","2023-09-06","2023-12-22",107,"0",False
"CUST0186","Female","East",55,"46-55","5","3480.00","696.00","2023-01-10","2023-10-20",283,"2",True
"CUST0187","Female","East",25,"18-25","2","7700.00","3850.00","2023-03-04","2023-10-24",234,"0",False
"CUST0188","Male","West",29,"26-35","3","5350.00","1783.33","2023-02-24","2023-07-26",152,"1",True
"CUST0189","Female","East",38,"36-45","4","5080.00","1270.00","2023-02-22","2023-07-19",147,"1",True
"CUST0190","Male","North",28,"26-35","1","200.00","200.00","2023-06-28","2023-06-28",0,"0",False
"CUST0191","Female","Unknown",41,"36-45","1","6000.00","6000.00","2023-08-01","2023-08-01",0,"0",False
"CUST0192","Female","North",58,"56-65","3","980.00","326.67","2023-05-15","2024-01-03",233,"0",False
"CUST0193","Female","North",64,"56-65","4","7500.00","1875.00","2023-02-19","2023-11-06",260,"0",False
"CUST0194","Female","South",61,"56-65","2","92.19","46.10","2023-01-28","2023-04-16",78,"1",True
"CUST0195","Female","West",48,"46-55","3","1300.00","433.33","2023-01-08","2023-10-31",296,"1",True
"CUST0196","Female","East",37,"36-45","7","6590.00","941.43","2023-01-05","2023-12-27",356,"3",True
"CUST0197","Female","North",54,"46-55","5","16150.00","3230.00","2023-04-28","2023-12-09",225,"0",False
"CUST0198","Male","South",56,"56-65","4","8500.00","2125.00","2023-05-20","2023-12-30",224,"2",True
"CUST0199","Female","North",41,"36-45","6","6340.00","1056.67","2023-01-18","2024-01-03",350,"3",True
"CUST0200","Female","North",68,"66+","4","16700.00","4175.00","2023-01-11","2023-08-06",207,"3",True
"CUST0201","Female","West",49,"46-55","8","8460.00","1057.50","2023-01-05","2024-01-03",363,"2",True
"CUST0202","Male","South",56,"56-65","4","5090.00","1272.50","2023-01-05","2024-01-03",363,"0",False
"CUST0203","Female","East",33,"26-35","5","12480.00","2496.00","2023-01-03","2023-10-05",275,"2",True
"CUST0204","Female","East",54,"46-55","9","37147.80","4127.53","2023-02-20","2023-10-20",242,"4",True
"CUST0205","Female","South",43,"36-45","2","700.00","350.00","2023-05-18","2023-10-09",144,"0",False
"CUST0206","Female","South",43,"36-45","2","7700.00","3850.00","2023-05-03","2023-08-14",103,"0",False
"CUST0207","Male","South",54,"46-55","2","1700.00","850.00","2023-03-14","2024-01-03",295,"1",True
"CUST0208","Female","North",57,"56-65","5","2720.00","544.00","2023-02-01","2023-09-19",230,"1",True
"CUST0209","Male","North",63,"56-65","1","250.00","250.00","2023-02-12","2023-02-12",0,"0",False
"CUST0210","Female","South",30,"26-35","3","3400.00","1133.33","2023-05-06","2023-12-31",239,"3",True
"CUST0211","Female","West",35,"26-35","4","5640.00","1410.00","2023-01-27","2023-12-25",332,"2",True
"CUST0212","Female","West",62,"56-65","4","10060.00","2515.00","2023-07-02","2023-11-18",139,"0",False
"CUST0213","Female","North",45,"36-45","2","2200.00","1100.00","2023-01-02","2023-10-31",302,"0",False
"CUST0214","Female","South",45,"36-45","1","600.00","600.00","2023-10-02","2023-10-02",0,"0",False
"CUST0215","Female","East",35,"26-35","2","1590.00","795.00","2023-01-22","2023-07-29",188,"1",True
"CUST0216","Female","South",53,"46-55","5","6010.00","1202.00","2023-03-14","2023-10-27",227,"4",True
"CUST0217","Male","South",18,"18-25","1","90.00","90.00","2023-10-20","2023-10-20",0,"0",False
"CUST0218","Female","East",36,"36-45","5","9150.00","1830.00","2023-06-06","2023-11-03",150,"2",True
"CUST0219","Female","South",48,"46-55","4","681.68","170.42","2023-01-23","2023-09-28",248,"1",True
"CUST0220","Female","North",67,"66+","4","3650.00","912.50","2023-03-15","2023-07-09",116,"3",True
"CUST0221","Female","North",33,"26-35","3","1110.00","370.00","2023-07-11","2023-11-01",113,"1",True
"CUST0222","Female","East",61,"56-65","2","1660.00","830.00","2023-10-03","2023-11-13",41,"1",True
"CUST0223","Female","East",20,"18-25","2","7624.38","3812.19","2023-02-01","2023-05-26",114,"1",True
"CUST0224","Female","East",57,"56-65","2","1600.00","800.00","2023-11-20","2023-12-13",23,"0",False
"CUST0225","Female","East",65,"56-65","4","1640.00","410.00","2023-01-31","2023-11-18",291,"1",True
"CUST0226","Female","West",43,"36-45","3","6600.00","2200.00","2023-02-25","2023-10-08",225,"2",True
"CUST0227","Female","West",54,"46-55","4","3350.00","837.50","2023-08-10","2023-12-07",119,"1",True
"CUST0228","Female","North",25,"18-25","6","5370.00","895.00","2023-01-24","2023-12-07",317,"1",True
"CUST0229","Female","North",45,"36-45","4","1090.00","272.50","2023-02-07","2023-09-16",221,"0",False
"CUST0230","Male","South",NULL,"Unknown","1","6000.00","6000.00","2023-11-10","2023-11-10",0,"0",False
"CUST0231","Female","North",NULL,"Unknown","2","7600.00","3800.00","2023-07-13","2023-11-30",140,"1",True
"CUST0232","Female","Unknown",44,"36-45","4","9190.00","2297.50","2023-02-10","2023-11-07",270,"2",True
"CUST0233","Male","West",24,"18-25","1","600.00","600.00","2023-03-11","2023-03-11",0,"0",False
"CUST0234","Female","South",44,"36-45","2","7700.00","3850.00","2023-07-08","2023-09-12",66,"2",True
"CUST0235","Male","East",19,"18-25","2","800.00","400.00","2023-03-06","2023-04-08",33,"0",False
"CUST0236","Male","West",18,"18-25","3","7600.00","2533.33","2023-01-23","2023-08-19",208,"2",True
"CUST0237","Male","South",65,"56-65","1","600.00","600.00","2024-01-03","2024-01-03",0,"0",False
"CUST0238","Female","West",26,"26-35","5","2363.82","472.76","2023-01-03","2024-01-03",365,"1",True
"CUST0239","Female","East",35,"26-35","4","3950.00","987.50","2023-03-15","2023-11-18",248,"0",False
"CUST0240","Female","West",39,"36-45","5","2900.00","580.00","2023-05-29","2023-12-21",206,"1",True
"CUST0241","Female","East",27,"26-35","3","3350.00","1116.67","2023-02-03","2023-07-10",157,"0",False
"CUST0242","Female","North",58,"56-65","3","4800.00","1600.00","2023-09-29","2023-12-30",92,"1",True
"CUST0243","Female","West",58,"56-65","2","1700.00","850.00","2023-05-14","2023-08-13",91,"1",True
"CUST0244","Female","West",24,"18-25","1","300.00","300.00","2023-02-21","2023-02-21",0,"0",False
"CUST0245","Male","West",63,"56-65","3","1720.00","573.33","2023-05-15","2023-12-27",226,"2",True
"CUST0246","Female","South",64,"56-65","1","900.00","900.00","2023-09-29","2023-09-29",0,"0",False
"CUST0247","Male","South",44,"36-45","4","5600.00","1400.00","2023-01-19","2023-08-01",194,"0",False
"CUST0248","Female","East",67,"66+","2","1800.00","900.00","2023-07-26","2023-08-27",32,"1",True
"CUST0249","Male","South",33,"26-35","1","1500.00","1500.00","2023-01-16","2023-01-16",0,"0",False
"CUST0250","Female","North",64,"56-65","3","3500.00","1166.67","2023-05-22","2023-11-28",190,"1",True
"CUST0251","Female","East",42,"36-45","3","5460.00","1820.00","2023-01-09","2023-11-18",313,"0",False
"CUST0252","Female","East",55,"46-55","3","2100.00","700.00","2023-05-16","2023-10-16",153,"1",True
"CUST0253","Female","East",51,"46-55","6","7750.00","1291.67","2023-02-28","2023-09-25",209,"2",True
"CUST0254","Female","West",NULL,"Unknown","1","60.00","60.00","2023-12-25","2023-12-25",0,"0",False
"CUST0255","Female","West",39,"36-45","3","5700.00","1900.00","2023-02-18","2023-11-16",271,"1",True
"CUST0256","Female","East",69,"66+","4","8250.00","2062.50","2023-02-19","2023-10-07",230,"1",True
"CUST0257","Female","Unknown",54,"46-55","1","60.00","60.00","2023-01-11","2023-01-11",0,"0",False
"CUST0258","Female","North",39,"36-45","3","6000.00","2000.00","2023-02-03","2023-07-23",170,"1",True
"CUST0259","Male","West",59,"56-65","3","3960.00","1320.00","2023-05-01","2023-11-17",200,"0",False
"CUST0260","Male","East",32,"26-35","2","1500.00","750.00","2023-05-22","2023-07-14",53,"1",True
"CUST0261","Male","North",48,"46-55","2","7590.00","3795.00","2023-10-01","2023-11-09",39,"1",True
"CUST0262","Male","East",27,"26-35","2","320.00","160.00","2023-05-07","2023-10-23",169,"1",True
"CUST0263","Female","West",40,"36-45","4","2400.00","600.00","2023-01-09","2023-09-13",247,"1",True
"CUST0264","Female","West",59,"56-65","6","8081.47","1346.91","2023-02-01","2023-12-26",328,"1",True
"CUST0265","Female","North",38,"36-45","2","500.00","250.00","2023-05-29","2023-11-30",185,"1",True
"CUST0266","Female","North",29,"26-35","3","4350.00","1450.00","2023-01-26","2023-11-08",286,"1",True
"CUST0267","Male","North",29,"26-35","1","4500.00","4500.00","2023-06-01","2023-06-01",0,"1",True
"CUST0268","Female","North",21,"18-25","5","3540.00","708.00","2023-05-16","2023-12-08",206,"2",True
"CUST0269","Female","East",64,"56-65","4","12109.56","3027.39","2023-04-23","2023-12-03",224,"3",True
"CUST0270","Female","East",64,"56-65","4","2850.00","712.50","2023-02-10","2023-08-20",191,"2",True
"CUST0271","Female","South",46,"46-55","5","2170.00","434.00","2023-04-10","2023-11-20",224,"1",True
"CUST0272","Female","South",52,"46-55","6","9180.00","1530.00","2023-03-30","2023-09-17",171,"1",True
"CUST0273","Female","South",55,"46-55","4","4390.00","1097.50","2023-01-15","2023-10-16",274,"1",True
"CUST0274","Female","West",51,"46-55","4","9100.00","2275.00","2023-01-07","2024-01-03",361,"2",True
"CUST0276","Female","South",66,"66+","7","9230.00","1318.57","2023-01-09","2023-12-01",326,"0",False
"CUST0278","Female","East",52,"46-55","1","600.00","600.00","2023-01-29","2023-01-29",0,"0",False
